year,month,amount
2021,Aug,672.0600000000001
2021,Dec,847.1199999999998
2021,July,1560.3
2021,Nov,1331.4199999999998
2021,Oct,655.3900000000002
2021,Sep,1913.7199999999998
2022,Apr,2022.34
2022,Aug,1267.6600000000003
2022,Dec,1605.9500000000003
2022,Feb,1124.57
2022,Jan,1034.1799999999998
2022,July,1666.49
2022,June,1358.3000000000004
2022,Mar,1286.1599999999999
2022,May,1363.9700000000005
2022,Nov,1792.5800000000004
2022,Oct,2184.460000000001
2022,Sep,876.3199999999999
2023,Apr,14.38
2023,Feb,1382.3500000000004
2023,Jan,1452.58
2023,Mar,1022.1300000000001
