,type,id,status,description,amount,account,balance,direction,class,institution,connection,enrich,transactionDate,postDate,subClass.title,subClass.code,links.self,links.account,links.institution,links.connection,subClass
0,transaction,b19e0d9d-3708-4b1d-a3b8-8b77d258bc3b,posted,WOOLWORTHS 1364 AUS Card xx7381 Value Date: 30/03/2021,-14.38,284eeb87-2bf3-4709-ba09-4e9527d15322,,debit,payment,AU00000,3f8b9a28-c196-44aa-afc8-79b2663a274d,,,2023-04-01T00:00:00Z,Supermarket and Grocery Stores,411,https://au-api.basiq.io/users/9ba0746e-db74-46e0-8b97-968b44ff004e/transactions/b19e0d9d-3708-4b1d-a3b8-8b77d258bc3b,https://au-api.basiq.io/users/9ba0746e-db74-46e0-8b97-968b44ff004e/accounts/284eeb87-2bf3-4709-ba09-4e9527d15322,https://au-api.basiq.io/institutions/AU00000,,
1,transaction,b0c4f314-fb4f-43a0-b10a-7c9f2c51c7e1,posted,WOOLWORTHS 1364 AUS Card xx7381 Value Date: 29/03/2021,-226.69,284eeb87-2bf3-4709-ba09-4e9527d15322,,debit,payment,AU00000,3f8b9a28-c196-44aa-afc8-79b2663a274d,,,2023-03-29T00:00:00Z,Supermarket and Grocery Stores,411,https://au-api.basiq.io/users/9ba0746e-db74-46e0-8b97-968b44ff004e/transactions/b0c4f314-fb4f-43a0-b10a-7c9f2c51c7e1,https://au-api.basiq.io/users/9ba0746e-db74-46e0-8b97-968b44ff004e/accounts/284eeb87-2bf3-4709-ba09-4e9527d15322,https://au-api.basiq.io/institutions/AU00000,,
2,transaction,7a67c0a7-838f-408c-a69e-148e3157a3ec,posted,"PAYMENT RECEIVED, THANK YOU",838.36,284eeb87-2bf3-4709-ba09-4e9527d15322,,credit,transfer,AU00000,3f8b9a28-c196-44aa-afc8-79b2663a274d,,,2023-03-21T00:00:00Z,,,https://au-api.basiq.io/users/9ba0746e-db74-46e0-8b97-968b44ff004e/transactions/7a67c0a7-838f-408c-a69e-148e3157a3ec,https://au-api.basiq.io/users/9ba0746e-db74-46e0-8b97-968b44ff004e/accounts/284eeb87-2bf3-4709-ba09-4e9527d15322,https://au-api.basiq.io/institutions/AU00000,,
3,transaction,562c744e-c65c-481a-b226-5b7750bbba15,posted,IMPRESSO CAFE MELBOURNE AUS Card xx7381 Value Date: 19/03/2021,-20.90,284eeb87-2bf3-4709-ba09-4e9527d15322,,debit,payment,AU00000,3f8b9a28-c196-44aa-afc8-79b2663a274d,,,2023-03-19T00:00:00Z,"Cafes, Restaurants and Takeaway Food Services",451,https://au-api.basiq.io/users/9ba0746e-db74-46e0-8b97-968b44ff004e/transactions/562c744e-c65c-481a-b226-5b7750bbba15,https://au-api.basiq.io/users/9ba0746e-db74-46e0-8b97-968b44ff004e/accounts/284eeb87-2bf3-4709-ba09-4e9527d15322,https://au-api.basiq.io/institutions/AU00000,,
4,transaction,b0ecdeef-224c-49e7-a87e-28e2b4147880,posted,LIQUOR EMPORIUM ALEXANDRIA NS AUS Card xx7381 Value Date: 17/03/2021,-45.95,284eeb87-2bf3-4709-ba09-4e9527d15322,,debit,payment,AU00000,3f8b9a28-c196-44aa-afc8-79b2663a274d,,,2023-03-17T00:00:00Z,Specialised Food Retailing,412,https://au-api.basiq.io/users/9ba0746e-db74-46e0-8b97-968b44ff004e/transactions/b0ecdeef-224c-49e7-a87e-28e2b4147880,https://au-api.basiq.io/users/9ba0746e-db74-46e0-8b97-968b44ff004e/accounts/284eeb87-2bf3-4709-ba09-4e9527d15322,https://au-api.basiq.io/institutions/AU00000,,
5,transaction,510a847d-e2b2-48b6-9b97-4864fef1c15c,posted,LIQUOR EMPORIUM ALEXANDRIA NS AUS Card xx7381 Value Date: 15/03/2021,-43.31,284eeb87-2bf3-4709-ba09-4e9527d15322,,debit,payment,AU00000,3f8b9a28-c196-44aa-afc8-79b2663a274d,,,2023-03-16T00:00:00Z,Specialised Food Retailing,412,https://au-api.basiq.io/users/9ba0746e-db74-46e0-8b97-968b44ff004e/transactions/510a847d-e2b2-48b6-9b97-4864fef1c15c,https://au-api.basiq.io/users/9ba0746e-db74-46e0-8b97-968b44ff004e/accounts/284eeb87-2bf3-4709-ba09-4e9527d15322,https://au-api.basiq.io/institutions/AU00000,,
6,transaction,e9b726b1-c947-4710-9351-f51aa6ac0f89,posted,LIQUOR EMPORIUM ALEXANDRIA NS AUS Card xx7381 Value Date: 13/03/2021,-40.97,284eeb87-2bf3-4709-ba09-4e9527d15322,,debit,payment,AU00000,3f8b9a28-c196-44aa-afc8-79b2663a274d,,,2023-03-15T00:00:00Z,Specialised Food Retailing,412,https://au-api.basiq.io/users/9ba0746e-db74-46e0-8b97-968b44ff004e/transactions/e9b726b1-c947-4710-9351-f51aa6ac0f89,https://au-api.basiq.io/users/9ba0746e-db74-46e0-8b97-968b44ff004e/accounts/284eeb87-2bf3-4709-ba09-4e9527d15322,https://au-api.basiq.io/institutions/AU00000,,
7,transaction,f7879aff-f786-4d4c-8798-24cf33b11b87,posted,WOOLWORTHS 1364 AUS Card xx7381 Value Date: 15/03/2021,-122.79,284eeb87-2bf3-4709-ba09-4e9527d15322,,debit,payment,AU00000,3f8b9a28-c196-44aa-afc8-79b2663a274d,,,2023-03-15T00:00:00Z,Supermarket and Grocery Stores,411,https://au-api.basiq.io/users/9ba0746e-db74-46e0-8b97-968b44ff004e/transactions/f7879aff-f786-4d4c-8798-24cf33b11b87,https://au-api.basiq.io/users/9ba0746e-db74-46e0-8b97-968b44ff004e/accounts/284eeb87-2bf3-4709-ba09-4e9527d15322,https://au-api.basiq.io/institutions/AU00000,,
8,transaction,e1e7d8dc-3a97-4535-862e-9b22d2edfd5a,posted,PANCAKES ON THE ROCKS MERMAID BEACH AUS Card xx7381 Value Date: 14/03/2021,-26.83,284eeb87-2bf3-4709-ba09-4e9527d15322,,debit,payment,AU00000,3f8b9a28-c196-44aa-afc8-79b2663a274d,,,2023-03-14T00:00:00Z,"Cafes, Restaurants and Takeaway Food Services",451,https://au-api.basiq.io/users/9ba0746e-db74-46e0-8b97-968b44ff004e/transactions/e1e7d8dc-3a97-4535-862e-9b22d2edfd5a,https://au-api.basiq.io/users/9ba0746e-db74-46e0-8b97-968b44ff004e/accounts/284eeb87-2bf3-4709-ba09-4e9527d15322,https://au-api.basiq.io/institutions/AU00000,,
9,transaction,1e913068-690b-4a65-93e6-414f7c10f223,posted,IMPRESSO CAFE MELBOURNE AUS Card xx7381 Value Date: 10/03/2021,-13.98,284eeb87-2bf3-4709-ba09-4e9527d15322,,debit,payment,AU00000,3f8b9a28-c196-44aa-afc8-79b2663a274d,,,2023-03-12T00:00:00Z,"Cafes, Restaurants and Takeaway Food Services",451,https://au-api.basiq.io/users/9ba0746e-db74-46e0-8b97-968b44ff004e/transactions/1e913068-690b-4a65-93e6-414f7c10f223,https://au-api.basiq.io/users/9ba0746e-db74-46e0-8b97-968b44ff004e/accounts/284eeb87-2bf3-4709-ba09-4e9527d15322,https://au-api.basiq.io/institutions/AU00000,,
