index,id,status,amount,direction,account,class,category,year,month,day,accountName
2,7a67c0a7-838f-408c-a69e-148e3157a3ec,posted,838.36,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2023,Mar,21,MasterCard
15,ba325964-33dd-4e57-b2b8-eb155637be58,posted,635.40,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2023,Mar,09,MasterCard
25,1ff96aae-566d-435c-adbc-858d51c1d4e1,posted,876.71,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2023,Feb,22,MasterCard
33,48d81189-a820-47af-8321-f84d906a005a,posted,749.12,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2023,Feb,14,MasterCard
49,3db4c29a-5df0-4c83-a1ff-321ccc396387,posted,890.95,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2023,Jan,24,MasterCard
51,f1451420-b2b2-4372-95a9-777bbad9287d,posted,883.15,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2023,Jan,23,MasterCard
65,ecf93783-7c64-4f3e-a906-2f3c708f3114,posted,902.90,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,Dec,25,MasterCard
73,cb43614a-00fd-4964-91e1-6b9e8d3d6065,posted,807.14,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,Dec,19,MasterCard
88,69f48852-c6cd-4129-af33-ef5b3820863f,posted,626.21,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,Dec,08,MasterCard
97,66e7ca53-86b7-4b5a-809a-51aef22ce4bb,posted,978.66,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,Nov,29,MasterCard
109,9cf2640d-883b-45e0-ad27-8743eb305be0,posted,706.48,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,Nov,13,MasterCard
114,1cb39e39-5b26-4aab-97f7-df3ce7abd843,posted,686.05,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,Nov,12,MasterCard
135,b935586f-6fdc-481e-8ca2-0b02ff960d35,posted,896.36,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,Oct,24,MasterCard
136,0c8a2e77-240d-45fc-af22-7f9dbc9b2c1f,posted,824.57,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,Oct,20,MasterCard
137,da3da979-0f25-4c7b-8468-62d8d0ed6de9,posted,802.91,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,Oct,19,MasterCard
169,9c130441-57ba-4147-a6a6-57fd40b12ae1,posted,772.56,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,Sep,17,MasterCard
170,a50f2461-008d-42ce-96ce-48e67f222c4d,posted,735.80,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,Sep,15,MasterCard
188,2b9d32e3-9c40-493b-b2d2-7f08feac6142,posted,707.63,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,Aug,13,MasterCard
191,a4ca4d89-2412-4b6c-80f0-31437efccf30,posted,698.85,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,Aug,12,MasterCard
200,9a9ee295-e037-493c-a4cc-1e59aee28edb,posted,990.32,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,July,30,MasterCard
211,13e28bff-046c-4242-84c7-84a80edf38c0,posted,721.62,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,July,14,MasterCard
225,eff827b4-9691-437a-b036-2528acc9ef64,posted,580.12,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,July,05,MasterCard
234,09d50b2f-ade3-4c13-874e-7854120431db,posted,936.85,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,June,27,MasterCard
242,cc3350d4-2691-45f1-a2bf-f6fc933cde06,posted,726.64,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,June,14,MasterCard
258,ccd2b780-0bf9-47f7-a586-770b14069b0d,posted,914.45,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,May,25,MasterCard
269,78a7c6fa-009c-4f82-8865-af480c7f5e97,posted,673.08,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,May,11,MasterCard
285,a0bd50b8-f229-4ee9-8066-196dfebb8ceb,posted,822.06,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,Apr,20,MasterCard
292,075d7412-0de9-468c-a89e-157c1e53bdf8,posted,737.42,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,Apr,15,MasterCard
308,f3c2ceff-3ef1-4889-be38-2737949a5033,posted,580.86,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,Apr,05,MasterCard
315,3672237d-adbd-44ce-a287-4efc7ea9ad78,posted,874.44,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,Mar,23,MasterCard
319,d2d77ec9-94f3-4d2a-a83e-062b427a36b5,posted,777.40,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,Mar,17,MasterCard
322,0d369f01-7ba7-4f60-ac57-8a2b8d2c994d,posted,764.23,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,Mar,16,MasterCard
342,9f8c1407-f051-4b2d-b4b7-9ceb7250f131,posted,818.10,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,Feb,19,MasterCard
351,ba62a028-3cba-44ad-b6d5-13f6e9121695,posted,631.85,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,Feb,08,MasterCard
357,8773eae4-c719-469e-8600-98dd100a0372,posted,728.21,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,Jan,14,MasterCard
374,08195af7-2e30-41d6-9baf-eab7e47ef573,posted,508.54,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2022,Jan,01,MasterCard
381,d480ee6e-6ca3-492d-b754-3c3180d1e195,posted,712.60,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2021,Dec,13,MasterCard
392,701f8e5a-7274-45dc-b4d9-8f278fbbd0e8,posted,501.23,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2021,Dec,01,MasterCard
413,a53bb94b-d0ed-439b-9b17-db413d53ceea,posted,552.25,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2021,Nov,04,MasterCard
415,a39feeda-3ad6-45ad-b22e-5909806bf15e,posted,500.09,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2021,Nov,01,MasterCard
416,b0aa788f-4654-4936-8abe-1b1f99299f07,posted,979.89,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2021,Oct,29,MasterCard
422,2e4c270c-f22f-4070-9aab-f788eeb30a73,posted,736.60,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2021,Oct,15,MasterCard
435,13517f7c-ffbf-472d-b2f9-ecaf0643c19f,posted,828.83,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2021,Sep,20,MasterCard
444,6ca2dbd1-d9b8-44b9-b9cf-0ab629e6b9f0,posted,760.09,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2021,Sep,16,MasterCard
463,51808b26-d6a7-4aa9-a364-b9b02eea21b3,posted,556.85,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2021,Sep,04,MasterCard
473,d06a2e06-2435-41d2-860f-9b4f9d8d7a17,posted,688.80,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2021,Aug,12,MasterCard
474,aa2a824c-5bb0-4698-bc3f-ee46792797de,posted,684.09,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2021,Aug,12,MasterCard
486,dc28166b-fc3d-41f6-a21c-3cd0108feaa7,posted,808.04,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2021,July,19,MasterCard
488,f0a0d8ae-59ff-4ba6-b8d9-3fda637e1ae8,posted,771.20,credit,284eeb87-2bf3-4709-ba09-4e9527d15322,transfer,Unknown,2021,July,17,MasterCard
