id,status,amount,direction,account,class,category,year,month,day
6ab12e3a-d109-4f0b-8d59-d5d0cc2dd788,posted,201.0,credit,0b107c33-e858-4bbd-abba-f757ae4da1fc,transfer,Unknown,2023,Apr,14
9e9287db-3dd2-4e65-abc0-1d9dc593c79b,posted,17098.0,credit,0b107c33-e858-4bbd-abba-f757ae4da1fc,transfer,Unknown,2023,Mar,29
98d26f43-6aad-490a-9e49-6532c7d083c6,posted,201.0,credit,0b107c33-e858-4bbd-abba-f757ae4da1fc,transfer,Unknown,2023,Mar,19
9e470fd5-7aba-4559-8b73-6a0b8275e01b,posted,201.0,credit,0b107c33-e858-4bbd-abba-f757ae4da1fc,transfer,Unknown,2023,Mar,15
ceffc51d-039c-45d6-8830-a9a8cd9bedeb,posted,17098.0,credit,0b107c33-e858-4bbd-abba-f757ae4da1fc,transfer,Unknown,2023,Feb,27
581da5f0-4a7d-4f81-8aa1-577f7a9ad911,posted,201.0,credit,0b107c33-e858-4bbd-abba-f757ae4da1fc,transfer,Unknown,2023,Feb,14
8738ecba-650c-4a3e-ae27-eda4d4d9ad6f,posted,171.0,credit,0b107c33-e858-4bbd-abba-f757ae4da1fc,transfer,Unknown,2023,Feb,14
9da6e500-48b2-4f0c-a29c-e115046cde64,posted,35.0,credit,0b107c33-e858-4bbd-abba-f757ae4da1fc,transfer,Unknown,2023,Feb,13
8c04ff1b-3233-4ac6-a516-6e8021b87c37,posted,61.0,credit,0b107c33-e858-4bbd-abba-f757ae4da1fc,transfer,Unknown,2023,Jan,30
b698f48d-ade9-4c5d-b8c6-047347cc3715,posted,17098.0,credit,0b107c33-e858-4bbd-abba-f757ae4da1fc,transfer,Unknown,2023,Jan,27
623a0901-0f0e-48ea-a681-a6e89e90f7dd,posted,201.0,credit,0b107c33-e858-4bbd-abba-f757ae4da1fc,transfer,Unknown,2023,Jan,17
d43edaba-b525-46f4-b83d-2ccbdf686f12,posted,201.0,credit,0b107c33-e858-4bbd-abba-f757ae4da1fc,transfer,Unknown,2023,Jan,13
af0dc7d5-8152-49ed-9719-a1c730074e0d,posted,17098.0,credit,0b107c33-e858-4bbd-abba-f757ae4da1fc,transfer,Unknown,2022,Dec,28
aaa311d9-aad0-4d70-9650-c5ad7f58b898,posted,201.0,credit,0b107c33-e858-4bbd-abba-f757ae4da1fc,transfer,Unknown,2022,Dec,15
d6cac72f-71d4-484f-a25a-47d91d054921,posted,201.0,credit,0b107c33-e858-4bbd-abba-f757ae4da1fc,transfer,Unknown,2022,Dec,13
2b50dd19-3454-438b-8158-08315029ad3f,posted,17098.0,credit,0b107c33-e858-4bbd-abba-f757ae4da1fc,transfer,Unknown,2022,Nov,27
a1c27b51-a9a8-4f89-92e5-411b1ae5fa17,posted,201.0,credit,0b107c33-e858-4bbd-abba-f757ae4da1fc,transfer,Unknown,2022,Nov,15
